text_length,batch_size,worker_num,QPS,throughput(token/s),latency.avg(ms),latency.p90(ms),latency.p95(ms),latency.p99(ms)
128,1,1,49,6310,20,22,22,28
128,1,3,146,18689,20,22,22,26
128,1,5,241,30787,20,22,22,28
128,1,7,344,43993,20,21,22,24
128,1,9,442,56529,20,21,22,25
128,1,11,533,68172,20,22,22,26
128,1,13,646,82643,20,21,22,24
128,1,15,731,93623,20,21,22,31
128,1,17,840,107567,20,21,22,29
128,1,19,958,122615,20,21,21,24
128,1,21,1048,134146,20,21,22,24
128,1,23,1055,135060,21,23,26,38
128,1,25,1188,152044,20,22,23,30
128,1,27,1292,165319,20,22,23,33
128,1,29,1375,176030,20,22,23,30
128,1,31,1432,183236,20,22,23,56
128,1,33,1586,203036,20,22,23,31
256,1,1,48,12179,21,22,23,33
256,1,3,144,36744,21,22,23,25
256,1,5,241,61638,20,22,22,24
256,1,7,334,85427,21,22,23,25
256,1,9,422,108012,21,22,23,26
256,1,11,535,136936,20,21,22,25
256,1,13,621,159023,21,22,23,25
256,1,15,703,179953,21,22,23,26
256,1,17,795,203394,21,22,23,26
256,1,19,900,230345,21,22,23,25
256,1,21,1013,259347,20,21,22,24
256,1,23,1074,275024,21,22,23,28
256,1,25,1174,300647,21,22,23,27
256,1,27,1284,328654,21,22,23,26
256,1,29,1371,351030,21,22,23,34
256,1,31,1482,379271,21,22,22,25
256,1,33,1564,400258,21,22,22,27
